stop_id,stop_name,stop_lat,stop_lon
20966,Broad-Girard,39.971473,-75.159488
20967,Oregon,39.916789,-75.171414
20979,Richmond St & Clearfield St,39.981783,-75.103782
20981,Richmond St & Ann St,39.979945,-75.107311
20982,Richmond St & Cambria St,39.979092,-75.108862
20983,Richmond St & Lehigh Av,39.976907,-75.113101
20984,Richmond St & Huntingdon St,39.975628,-75.115552
20986,Girard Av & Berks St,39.971869,-75.125833
20988,Girard Av & Palmer St,39.970983,-75.1284
20989,Girard Av & Columbia Av,39.970265,-75.130423
2099,MacDade Blvd,39.910255,-75.280973
20991,Girard Av & Frankford Av,39.968891,-75.134397
20993,Girard Av & 2nd St,39.9695,-75.13945
20994,Girard Av & 3rd St,39.969799,-75.141386
20995,Girard Av & 4th St,39.96999,-75.142968
20996,Girard Av & 5th St,39.970218,-75.144905
20998,Girard Av & 7th St,39.970484,-75.148022
20999,Girard Av & 8th St,39.970568,-75.149853
21001,Girard Av & 11th St,39.970845,-75.154021
21002,Girard Av & 12th St,39.971045,-75.155603
21005,Girard Av & 16th St,39.971908,-75.162605
21006,Girard Av & 17th St,39.972116,-75.164151
21008,Girard Av & Ridge Av,39.97238,-75.166217
21009,Girard Av & 20th St,39.972715,-75.168874
21010,Girard Av & Corinthian Av,39.972888,-75.17022
21014,Poplar St & 25th St,39.972492,-75.177403
21016,Girard Av & 26th St,39.973976,-75.178733
21017,Girard Av & 27th St,39.974202,-75.18028
21018,Girard Av & 28th St,39.974375,-75.181756
21019,Girard Av & 29th St,39.974574,-75.183361
21021,Girard Av & 31st St,39.975009,-75.186549
21022,Girard Av & 33rd St,39.975199,-75.188002
21025,Girard Av & 39th St,39.974511,-75.201683
21026,Girard Av & 41st St,39.973966,-75.206268
21027,Girard Av & 42nd St,39.973658,-75.208797
21028,Girard Av & Belmont Av,39.973315,-75.212094
21030,Girard Av & 49th St,39.972917,-75.219064
21032,Girard Av & 51st St,39.971987,-75.223438
21033,Girard Av & 52nd St,39.971473,-75.22579
21035,Girard Av & 54th St,39.971165,-75.228614
21037,Girard Av & 56th St,39.970761,-75.232477
21038,Girard Av & 57th St,39.970585,-75.234096
21040,Girard Av & 60th St,39.970039,-75.238988
21041,Haverford Av & 61st St,39.970899,-75.240781
21042,Haverford Av & 62nd St,39.971642,-75.242704
21044,Girard Av & 63rd St - MBFS,39.970226,-75.244598
21208,Woodland Av & 53rd St,39.937242,-75.217681
21248,40th-Market,39.957259,-75.202021
21422,40th St & Spring Garden St,39.961705,-75.202314
21423,40th St & Baring St,39.960464,-75.202177
21424,40th St & Powelton Av,39.959232,-75.202039
21456,42nd St & Baltimore Av,39.949709,-75.207076
21457,42nd St & Spruce St,39.952163,-75.206867
21481,Haverford Av & 63rd St,39.971895,-75.244641
21531,8th-Market,39.951138,-75.153636
21532,Drexel Station at 30th St,39.954814,-75.183276
217,Arrott Transit Center,40.016564,-75.083802
22127,Spruce St & 41st St,39.952027,-75.205687
22128,Spruce St & 39th St,39.951385,-75.200871
22129,Spruce St & 38th St,39.951231,-75.19949
23992,Frankford Av & Richmond St,39.966008,-75.134338
24038,Frankford Av & Richmond St,39.966124,-75.134492
2439,North Philadelphia,39.993944,-75.154629
2440,Chinatown,39.955028,-75.152795
2446,Millbourne,39.96432,-75.252243
2447,63rd St,39.962714,-75.246767
2448,60th St,39.961956,-75.240757
2449,56th St,39.960962,-75.232859
2450,52nd St,39.959976,-75.224889
2451,46th St,39.958619,-75.214028
2452,40th St,39.957117,-75.201963
2453,34th St,39.95583,-75.19148
2455,13th St,39.952065,-75.16145
2456,11th St,39.951693,-75.158322
24568,Main St & Mill St,39.918091,-75.260053
2457,8th-Market,39.951102,-75.153589
2458,5th St/Independence Hall,39.95053,-75.148939
2459,Spring Garden,39.960533,-75.140337
2460,Berks,39.978626,-75.133448
2461,York-Dauphin,39.985512,-75.131942
2462,Huntingdon,39.988803,-75.127274
2463,Tioga,40.000291,-75.106439
2464,Church,40.010901,-75.088651
25779,Richmond St & Girard Av,39.973068,-75.119591
277,Lancaster Av & Girard Av,39.973059,-75.218615
279,40th St & Filbert St,39.957929,-75.201901
283,13th St,39.952532,-75.162559
297,Woodland Av & 49th St,39.940767,-75.212665
30290,Girard Av & 19th St,39.972507,-75.167339
30291,Girard Av & 34th St - MBFS,39.975126,-75.196472
305,Darby Transit Center,39.919085,-75.262376
30519,Ardmore Junction,39.996289,-75.303659
30520,Norristown Transit Center,40.113459,-75.345114
30550,Girard Av & Merion Av,39.972814,-75.216277
30607,Scenic Rd,39.940752,-75.32612
30791,Girard Av & 24th St,39.972453,-75.175844
30820,42nd St & Pine St,39.951075,-75.207072
31140,15th St/City Hall,39.952502,-75.165369
31294,63rd-Malvern,39.983838,-75.245957
31347,Frankford Av & Delaware Av Loop,39.964945,-75.134154
31540,Frankford Av & Girard Av - FS,39.96865,-75.134493
31790,69th St Transit Center,39.962759,-75.259156
319,Mt. Moriah,39.92889,-75.235461
320,Chester Av & 58th St,39.935653,-75.228572
321,Chester Av & 49th St,39.944041,-75.216622
32523,9th St & Main St - MBFS,39.918924,-75.261845
32722,Lancaster Av & Powelton Av,39.959774,-75.19612
33027,Olney Transit Center,40.039075,-75.144808
33029,15th St/City Hall,39.952473,-75.164132
341,Richmond St & Westmoreland St Loop,39.984253,-75.099553
342,Girard Av & Front St,39.968903,-75.136075
343,Girard Av & Broad St,39.971499,-75.159275
344,Girard Av & 40th St - FS,39.974159,-75.204543
345,Girard Av & 59th St,39.970224,-75.237334
353,Front-Girard,39.968877,-75.136146
416,69th St Transit Center,39.962338,-75.258555
428,2nd St,39.949795,-75.143758
4726,Bartram Av,39.914605,-75.284222
481,Frankford Av & Girard Av,39.968774,-75.134351
599,61st-Baltimore,39.943963,-75.246342
60,Kensington-Allegheny,39.996471,-75.11344
600,Baltimore Av & 49th St,39.948101,-75.221404
61,Frankford Transit Center,40.022929,-75.077861
611,Elmwood Loop,39.914015,-75.242642
650,Richmond St & Cumberland St,39.974331,-75.118038
672,Spruce St & 40th St - FS,39.951647,-75.202795
797,Somerset,39.991424,-75.122489
82,Olney Transit Center,40.039066,-75.144749
838,Erie-Torresdale,40.005825,-75.096404
